Residual_ESN,Residual_LSTM,Residual_CNN_LSTM
243.43233922783838,100.68359375,251.43359375
261.68458019657555,122.015625,218.4921875
-113.20079079757488,-183.04296875,121.162109375
-60.27037027588631,-146.0126953125,174.3525390625
-143.42941750347563,-175.17578125,59.7421875
1.837789170036558,30.583984375,125.2646484375
-141.8064251791202,-63.751953125,-197.716796875
2.674808971434686,283.6689453125,-14.07421875
-81.01758240004347,700.203125,358.0390625
-123.27744064665603,632.7734375,359.048828125
121.22140020483857,130.998046875,11.5078125
65.73747560284028,-355.798828125,-316.28515625
-177.6507916096307,-611.82421875,-444.5
119.5046347038151,-370.61328125,-115.466796875
305.99659091717695,-108.240234375,197.525390625
-56.3254210431478,-346.931640625,-19.568359375
0.8293232477808488,-220.990234375,119.796875
156.97275627270938,98.326171875,438.2265625
108.05072974983705,320.7734375,651.58984375
-34.46150592989579,186.478515625,485.103515625
-44.948314805973496,167.775390625,435.28125
-4.898442147674359,300.447265625,538.068359375
-282.8807858879736,-1.74609375,195.857421875
10.864442053138191,49.6953125,202.171875
54.46137468721281,14.86328125,119.01953125
90.24202361965581,-16.181640625,37.17578125
64.46232119161141,-243.75390625,56.2578125
-336.90951655189383,-577.734375,-268.59765625
242.52537481442232,-96.7529296875,169.8837890625
-22.342706999777874,-205.7490234375,-81.1044921875
139.86047839921412,-92.9599609375,-166.791015625
54.14415467604522,189.66015625,-31.763671875
-56.74061940847605,597.759765625,334.509765625
-186.88995380117922,487.49609375,286.75
-501.75455217542185,-440.755859375,-502.0859375
-217.77675618781723,-758.732421875,-676.966796875
111.54772422210954,-545.37109375,-351.978515625
98.55220551164894,-418.78125,-147.267578125
61.95372556537768,-397.138671875,-75.58984375
196.84205837421905,-308.404296875,29.748046875
-87.33764058671295,-456.71484375,-118.576171875
142.04133977762467,-69.390625,266.896484375
-586.6501806799279,-558.333984375,-239.5625
-61.98863476954648,-161.94921875,135.439453125
-1.2041916425878298,-10.40625,248.19921875
245.5271110983449,320.37890625,535.779296875
4.668114802549098,75.7578125,237.08203125
-36.743221825468936,-52.38671875,60.13671875
-22.07387245233258,-102.15234375,-38.6328125
195.48115153193794,53.83203125,66.10546875
-194.46971187287272,-399.3203125,-126.572265625
67.63544855215696,-199.7998046875,44.05859375
27.36542835389446,-117.861328125,82.71875
-14.558748449300765,-96.1376953125,-28.7265625
43.558180620391795,20.8466796875,-73.3974609375
-158.1484406799118,124.642578125,-82.1875
-177.90667893700083,437.716796875,224.85546875
-127.92467383228723,472.671875,330.455078125
-540.2956614520408,-451.01953125,-475.853515625
-27.74279809264408,-438.373046875,-346.49609375
-310.7965743630375,-718.69921875,-535.796875
613.6335484794581,119.6640625,371.529296875
-650.5124694513506,-956.19140625,-678.107421875
-45.60083936589581,-610.626953125,-301.708984375
1049.0205715218217,636.4453125,944.607421875
-242.12733252967882,-124.359375,154.259765625
72.9695980252036,-51.0078125,196.82421875
25.893617688445374,43.96484375,265.17578125
99.2063613467617,241.189453125,430.65625
-150.25836658720436,92.07421875,246.732421875
162.9842109568417,266.017578125,378.908203125
-125.58915249253914,-46.72265625,20.31640625
-113.1963569669606,-110.42578125,-89.2109375
-24.87762654159451,-17.732421875,-44.880859375
132.41101490086476,71.48046875,236.9140625
-105.28363239196551,-123.021484375,22.1015625
53.874681299761505,10.9248046875,106.7734375
-23.712317416766382,62.98828125,45.1796875
-250.5132190066197,-78.4013671875,-222.466796875
-58.22371166407174,195.8583984375,-10.744140625
43.49668405685952,597.763671875,407.94140625
91.38051290328076,749.7109375,639.40234375
-193.3918664053599,93.029296875,75.689453125
-123.22405379025804,-248.00390625,-172.779296875
271.54975577347795,-63.91015625,73.85546875
-74.87725024773681,-305.224609375,-104.53515625
286.1575423661998,-203.671875,3.20703125
360.0119488137643,26.75390625,238.4453125
-222.53609554418654,-174.046875,64.6640625
-9.640171833747445,-86.677734375,140.013671875
-65.41529188791537,-87.55859375,117.03125
-168.39377050561598,-119.798828125,58.80859375
-59.173770305853395,27.40625,178.775390625
268.41290499030583,342.84375,457.11328125
-94.24765329469665,55.85546875,129.544921875
-179.353760348371,-177.373046875,-145.984375
7.6268667037802516,-35.91796875,-48.5703125
161.7531587304602,224.7431640625,165.40234375
-54.474185037903226,-75.3466796875,17.5703125
82.56517724512378,-4.447265625,72.0107421875
41.85480844586891,5.265625,32.2978515625
-19.656571366744174,15.408203125,-42.6748046875
-24.618071232673174,-70.8818359375,-235.8544921875
154.33008718708152,68.34765625,-126.123046875
-293.91375585836795,-243.0234375,-394.0263671875
-165.72025462392776,-244.859375,-294.65234375
154.70483216267348,-71.884765625,-27.48046875
86.38162833581737,-127.638671875,-7.943359375
43.57636636947791,-228.93359375,-51.6328125
-120.81149513052515,-520.76953125,-312.7578125
74.23690167416862,-440.4453125,-211.697265625
-0.5225143606367055,-415.01171875,-176.66796875
32.39775578078843,-282.00390625,-50.111328125
157.86931696272586,3.41796875,218.052734375
-3.04780028557434,25.53125,207.998046875
247.2831664678597,343.724609375,490.490234375
367.6913516978202,609.15234375,717.4453125
100.80795663538447,449.8984375,522.146484375
-21.949567237265,197.349609375,232.98046875
-91.90841386383181,15.791015625,15.720703125
347.3007992147541,471.73828125,435.662109375
45.47164258683188,327.916015625,257.361328125
44.88098151410304,298.8203125,216.46875
-67.31289280909914,250.2265625,143.1982421875
-143.65332095882877,201.56288427051732,42.218157708017316
-61.6488005492065,278.4345703125,55.904296875
207.5767371561542,424.8486328125,137.517578125
69.86567200627178,258.337890625,-31.62109375
150.53581492195372,344.416015625,112.205078125
-145.66238837860874,213.501953125,74.3046875
-144.2026839236678,182.158203125,146.0234375
-172.86699030698583,12.3515625,54.234375
7.469285652772669,-12.33984375,85.01953125
-167.45130885434992,-287.6640625,-168.66796875
-167.02629287468517,-375.16796875,-234.99609375
-172.5198407503376,-357.927734375,-205.3203125
29.980303606138477,-53.287109375,103.869140625
-58.663290880376735,73.033203125,223.47265625
-241.09515050276968,1.232421875,132.10546875
21.43104275589576,321.728515625,436.513671875
-160.62567810061228,282.20703125,371.0
227.43490555495373,597.416015625,653.638671875
245.49947348916248,607.09375,623.77734375
299.32210955863775,609.806640625,592.3671875
140.81128140183137,506.244140625,460.73828125
-123.12818015030643,168.564453125,96.162109375
-109.7353210451547,-156.099609375,225.130859375
-179.49882136796805,-272.380859375,124.3984375
14.442171068774769,-84.630859375,234.59375
86.93395151316872,-54.255859375,54.087890625
290.6081788553711,150.8671875,-23.1328125
240.9401485149283,558.3046875,126.814453125
39.03856672006805,985.75,488.53515625
346.9783565544858,1406.423828125,1023.880859375
-142.48141233524802,449.478515625,254.93359375
-463.42954344151804,-512.033203125,-531.455078125
140.2078953916316,-174.849609375,-49.404296875
-400.62655439017544,-761.61328125,-536.36328125
-30.741261257469887,-481.72265625,-183.580078125
222.33456996648601,-145.75390625,194.12109375
-119.59566674630696,-259.794921875,103.291015625
